"address","amount"
"erd16qv4pnljvcqty3vw09ww68er6umns2w7f6ydcqn57afqrr3w9d7qzdtl29","10000000"
"erd10aadvpxqznpup8k26kaffcl3pv9h5yal48rd457yf9q8844y4mgsdslytz","10000000"
"erd1dz5empg452yj4need3lyfcctqxq9p54hda3y0lrfz38wxa7z8mvq6kwyel","10000000"
"erd1elx6ucl4kpfufnqzpq5kgu5hwhm06y4e6untvlqwrkj8ejynvyhqu54kv5","10000000"
"erd1ag9screyyrxmnkrjmg4gn5cpunrrh56sp7tj5xukaj6hatjdnmgstkjd64","10000000"
"erd13rjfa75kphe7xpu4u9g0qjxd2a94gf248g4q8vpnmq3d7wd8a0cqr9ecp6","10000000"
"erd1ys6v578fcqf3cwz7xf80wmcwacyuzdfhjev2mrfa5lnwz5tzfy2qz3frtz","10000000"
"erd1zz2jnefec5wsylr2sr6w5999ay6q2m973wcgh2avc4ylgqcepwdqatmc7h","10000000"
"erd1kr7r0v74gmgukukf26cpdvdapfurw03w4072v0rdhvvlsytku4esedg585","10000000"
"erd1telljvjf9y36xdpe7snmrm28650jxdp77vp0fl0pl9htl2xn6uhq352ah5","10000000"
"erd1t5d5lyvcj3ykdtqr4gnl4clpvnnt9jzn5hz66u7asn0n58lgc33smr33mq","10000000"
"erd18q6sppukqgm20aq3e5l80cl4tz5nnx8eflnawx6f3cqme9uk9hpqt2v3zh","10000000"
"erd1m7nhjrtnjqfg7hae66j6fv0gg0gmtywn962fhfz2x3c3459ussrsrxnlkg","10000000"
"erd1wsw7p7yykv8ygg7t9anjqlttaly0wjns5yucql75798gn07wpq4syrszjw","10000000"
"erd1jdwecfzp4zjaqz55m5avuz4crkdt2t5edmp5wlcutfcz5uqggclst4k3nz","10000000"
"erd1cpuvlu6pg0fh7mkpycn0czdyht4nda0d7pr8twzzpt9ks9yf2esqlqrqgs","10000000"
"erd1jvrn4da22ymtzjh9zg3lfjm2srtde4z470n00nar5dzxvsku78ws2rsepe","10000000"
"erd1dwyu4etq7pc7snqrjt4s60pu27f2jwv7eg40tjwrvqpruz3yn2kswg22xm","10000000"
"erd17pw0lu4pu7mtq7u7qf04ef7v607ap67vhmcj252f2qa5xrtx7epqszd4vm","10000000"
"erd1xug8jwgzxwfyt6kp0x73ygf236xz9ktygd65fu936sf68k56820suaqgae","10000000"
